resp_id,wave,bidr_01,bidr_02,bidr_03,bidr_04,bidr_05,bidr_06,bidr_07,bidr_08,bidr_09,bidr_10,bidr_11,bidr_12,bidr_13,bidr_14,bidr_15,bidr_16,bidr_17,bidr_18,bidr_19
w2023_001,2023,3,5,4,5,5,5,7,4,5,6,3,4,7,4,6,2,5,4,4
w2023_002,2023,4,5,3,5,5,7,5,3,4,5,3,1,7,6,3,3,6,3,5
w2023_003,2023,5,2,4,5,3,5,4,4,3,5,5,5,7,6,4,5,5,4,5
w2023_004,2023,5,5,3,4,5,2,3,3,6,5,2,3,7,5,6,5,5,6,4
w2023_005,2023,1,4,4,5,3,6,4,3,2,7,5,4,7,7,4,3,4,6,2
w2023_006,2023,5,6,2,6,6,6,5,2,5,7,3,5,7,7,3,5,6,2,2
w2023_007,2023,6,5,6,4,6,6,6,6,6,4,3,1,7,7,6,5,7,6,4
w2023_008,2023,4,1,7,7,7,7,7,4,7,4,7,1,7,6,4,6,7,7,1
w2023_009,2023,5,6,5,3,6,3,4,6,1,4,6,5,3,3,4,4,5,6,3
w2023_010,2023,6,1,1,1,7,5,7,1,4,4,6,1,2,1,5,4,7,7,1
w2023_011,2023,5,5,3,5,6,5,5,1,5,3,5,4,7,5,5,6,6,6,3
w2023_012,2023,6,6,5,5,6,7,6,2,6,6,2,7,7,7,4,6,6,2,4
w2023_013,2023,4,5,1,5,6,5,2,4,5,5,6,3,7,5,3,2,4,4,3
w2023_014,2023,1,5,1,5,6,6,3,4,3,4,2,3,7,5,4,5,4,5,4
w2023_015,2023,5,6,5,3,4,4,5,5,6,2,6,6,7,7,6,2,5,6,5
w2023_016,2023,5,6,2,6,7,6,5,4,5,6,2,5,7,1,3,5,5,3,5
w2023_017,2023,5,4,5,6,5,7,5,7,2,5,4,5,7,7,5,4,5,6,5
w2023_018,2023,7,4,4,7,3,6,7,1,5,4,1,1,7,3,1,1,5,5,7
w2023_019,2023,4,7,1,2,7,5,3,2,1,7,1,3,3,5,6,4,7,2,1
w2023_020,2023,6,7,3,4,2,6,5,2,2,5,1,6,7,6,6,1,3,2,5
w2023_021,2023,5,7,6,2,7,2,3,4,6,3,3,4,5,2,6,3,5,5,4
w2023_022,2023,4,6,3,3,3,6,2,4,5,4,2,5,7,5,2,3,5,4,2
w2023_023,2023,5,2,2,3,5,3,3,2,7,7,3,3,7,1,4,3,5,5,4
w2023_024,2023,3,3,4,6,3,6,2,5,3,3,4,3,6,3,2,5,5,3,3
w2023_025,2023,6,5,2,5,7,5,3,7,5,7,2,5,6,4,4,2,5,6,4
w2023_026,2023,5,2,5,6,4,6,4,4,4,3,4,4,7,5,4,3,5,3,2
w2023_027,2023,3,6,2,6,3,7,2,4,5,5,3,7,7,5,3,3,2,1,5
w2023_028,2023,3,5,2,6,3,5,4,5,4,5,1,5,3,5,3,4,2,3,5
w2023_029,2023,6,5,2,7,2,6,4,2,2,5,3,5,5,7,3,2,5,2,5
w2023_030,2023,4,5,2,4,5,5,3,6,4,4,3,3,4,5,3,3,3,5,5
w2023_031,2023,6,6,7,5,4,5,5,5,5,5,4,5,7,3,3,5,5,2,5
w2023_032,2023,4,5,3,5,3,4,5,7,4,5,2,5,5,6,4,3,4,3,5
w2023_033,2023,4,6,5,7,3,5,5,3,3,5,3,3,7,3,5,2,5,6,3
w2023_034,2023,3,5,1,3,6,7,6,4,2,5,1,7,7,1,1,1,4,1,3
w2023_035,2023,4,3,6,2,7,2,7,2,7,4,2,1,5,5,7,3,7,4,1
w2023_036,2023,3,7,5,6,3,4,4,6,3,7,1,5,6,2,2,4,3,2,4
w2023_037,2023,5,3,6,7,5,6,2,4,4,2,3,1,7,7,6,1,6,7,2
w2023_038,2023,5,6,4,3,3,6,4,2,5,4,6,5,7,4,3,4,5,5,5
