var,cz_wording
bidr_01,Můj první dojem z lidí se obvykle ukáže jako pravdivý.
bidr_02,Bylo by pro mne těžké zbavit se některého ze svých zlozvyků.
bidr_03,"Nezáleží mi na tom, co si o mně ostatní opravdu myslí."
bidr_04,Nebyl/a jsem k sobě vždy upřímný/á.
bidr_05,"Vždy vím, proč mám něco rád/a."
bidr_06,"Když jsem pod vlivem emocí, má to vliv na mé uvažování."
bidr_07,"Když už se jednou rozhodnu, ostatním se jen stěží podaří můj názor změnit."
bidr_08,"Když překročím povolenou rychlost, nejezdím bezpečně."
bidr_09,Mám svůj osud pevně v rukou.
bidr_10,Je pro mě obtížné zbavit se rušivé myšlenky.
bidr_11,Nikdy nelituji svých rozhodnutí.
bidr_12,"Někdy o něco přijdu, protože se nedokážu rozhodnout včas."
bidr_13,"Chodím volit, protože i můj hlas něco zmůže."
bidr_14,Rodiče mne někdy potrestali nespravedlivě.
bidr_15,Jsem zcela racionální člověk.
bidr_16,Zřídkakdy ocením kritiku.
bidr_17,Vysoce důvěřuji svému úsudku.
bidr_18,"Nevadí mi, pokud mne někdo nemá rád."
bidr_19,Ne vždy znám důvody svého jednání.
