resp_id,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
w2020_001,6,6,4,5,4,4,5,5,1,4,6,5,5,4,4,5,4,6,4,4,6,3,4
w2020_002,6,6,4,6,5,5,5,4,2,7,4,7,7,4,3,5,5,5,4,2,7,2,7
w2020_003,5,7,4,7,2,2,4,5,1,7,2,7,5,1,2,2,2,7,2,5,7,1,7
w2020_004,6,5,4,5,4,4,4,6,2,6,5,5,6,4,3,4,2,5,4,5,7,2,7
w2020_005,7,6,1,7,2,5,6,6,2,7,5,6,6,4,2,5,3,6,2,4,6,3,6
w2020_006,7,6,4,7,1,5,3,6,1,7,4,7,7,4,2,6,2,7,5,5,7,1,7
w2020_007,7,6,4,6,4,5,4,3,2,7,3,6,3,2,3,3,6,6,6,4,6,2,7
w2020_008,6,6,5,6,5,3,6,6,1,7,3,7,6,4,3,6,6,5,6,2,5,2,7
w2020_009,7,6,7,3,1,1,4,5,6,7,5,7,7,2,5,6,7,6,7,3,6,2,5
w2020_010,7,6,4,6,4,4,4,6,2,7,4,6,5,3,4,5,5,5,6,4,6,2,5
w2020_011,7,6,2,6,6,3,6,7,1,7,5,7,5,2,3,7,6,6,4,3,6,2,6
w2020_012,6,5,6,5,3,4,4,5,2,7,3,6,5,5,2,5,7,6,4,4,7,2,7
w2020_013,6,3,1,6,4,1,5,7,6,7,3,7,4,6,4,6,6,7,7,4,7,4,7
w2020_014,6,7,6,5,5,5,6,5,2,6,4,7,6,5,3,6,6,7,3,5,6,1,6
w2020_015,7,5,1,5,1,3,5,4,2,7,1,5,1,1,1,2,2,5,2,2,7,3,6
w2020_016,7,7,2,6,5,4,5,5,1,7,5,6,4,6,2,7,3,5,6,5,7,3,7
w2020_017,6,6,5,7,6,3,5,6,2,6,5,7,6,4,3,6,4,4,4,5,7,2,5
w2020_018,7,7,6,7,4,4,5,5,1,7,5,7,6,4,2,6,4,7,5,4,5,2,7
w2020_019,5,7,3,6,4,4,7,4,1,5,5,5,4,5,3,4,3,2,4,5,5,1,6
w2020_020,6,7,5,6,4,6,5,6,4,7,4,6,7,5,5,6,6,6,5,5,6,2,6
w2020_021,6,6,4,6,5,5,4,4,2,5,3,6,5,4,2,6,3,6,5,4,7,3,7
w2020_022,6,5,7,5,4,4,2,4,2,6,2,5,5,3,4,5,6,6,5,3,7,4,5
w2020_023,6,6,4,5,5,4,4,5,3,7,5,6,6,3,3,5,5,6,3,5,6,2,6
w2020_024,7,4,3,7,5,3,4,6,2,7,4,7,4,4,2,6,4,5,7,5,7,1,6
w2020_025,6,4,3,4,3,5,3,2,2,3,3,5,4,5,4,3,4,4,4,4,4,4,4
w2020_026,7,5,5,6,4,7,6,7,2,7,5,7,7,7,4,6,4,6,5,3,7,4,7
w2020_027,6,7,7,4,5,4,4,6,3,7,2,4,5,5,5,7,7,5,6,4,7,4,7
w2020_028,7,6,3,5,5,5,4,4,3,6,2,6,5,4,3,4,5,5,5,3,7,5,6
w2020_029,7,5,2,5,3,5,4,3,2,7,6,5,7,5,4,4,3,5,3,5,7,2,7
w2020_030,5,7,2,6,5,6,6,6,1,7,6,6,3,3,2,6,2,6,5,6,6,1,6
w2020_031,7,7,2,5,2,2,5,7,1,7,4,7,5,2,1,5,4,6,2,4,7,1,7
w2020_032,6,6,4,4,5,6,5,7,1,7,7,7,5,4,7,7,5,7,4,6,6,2,7
w2020_033,6,7,2,6,4,5,7,7,2,7,5,6,7,5,3,6,6,4,4,6,7,1,7
w2020_034,6,5,4,5,3,4,5,5,2,4,5,4,6,3,3,6,4,6,2,1,7,3,7
w2020_035,6,6,5,7,3,6,5,4,1,5,2,6,6,5,3,5,6,6,3,1,6,6,4
w2020_036,5,4,3,4,3,5,4,4,3,5,4,5,5,4,3,4,4,4,3,3,4,3,4
w2020_037,6,6,7,7,4,5,5,5,2,6,5,7,6,4,3,4,5,6,5,4,6,3,6
w2020_038,6,6,6,5,6,6,5,6,3,6,4,6,6,1,4,4,6,6,2,2,6,4,6
w2020_039,7,5,7,5,5,7,5,5,2,7,3,5,7,3,7,4,7,6,4,3,7,3,7
w2020_040,7,6,5,7,3,6,6,5,4,7,6,7,6,6,3,6,3,4,6,5,7,1,6
w2020_041,5,7,3,5,5,2,3,6,5,7,3,7,5,5,3,5,6,7,7,5,7,3,6
w2020_042,7,7,2,7,5,5,6,5,5,7,3,7,6,4,4,4,6,6,3,4,7,4,7
w2020_043,5,5,4,6,4,7,5,7,4,7,5,7,6,5,4,5,7,5,4,3,6,3,7
w2020_044,7,6,5,6,5,4,6,7,1,7,6,7,6,2,5,5,7,6,5,5,7,1,7
w2020_045,7,3,3,7,6,3,5,7,1,5,7,7,7,6,3,6,5,3,2,5,7,3,7
w2020_046,5,5,3,4,4,3,3,6,2,6,5,6,7,5,3,6,4,3,3,4,7,2,7
w2020_047,6,6,5,7,7,5,4,6,1,7,2,6,6,3,3,5,6,6,5,4,7,3,7
w2020_048,7,5,5,6,5,6,5,5,2,6,4,6,5,5,3,4,3,4,5,5,6,3,6
w2020_049,6,5,6,7,7,6,3,7,2,7,3,7,6,5,4,6,6,5,6,5,6,2,7
w2020_050,6,5,3,6,3,5,5,5,3,7,4,6,4,4,3,3,4,3,3,4,6,2,6
w2020_051,6,5,3,7,2,6,6,6,5,5,4,7,4,5,3,3,3,6,2,3,2,2,7
w2020_052,6,4,5,5,4,5,5,5,3,6,4,6,5,3,4,3,5,6,4,4,6,3,6
w2020_053,4,7,2,7,5,7,6,7,1,7,4,7,7,4,6,7,7,5,4,5,7,1,7
w2020_054,5,4,2,4,5,6,2,7,1,7,5,6,5,4,3,5,6,6,7,5,6,4,7
w2020_055,7,6,4,6,4,5,4,6,2,6,4,6,6,4,5,5,5,6,5,5,7,4,7
w2020_056,7,6,5,4,3,6,5,6,1,7,4,6,6,5,2,7,5,7,5,4,6,2,7
w2020_057,7,5,7,7,4,7,6,7,1,7,2,7,7,3,6,6,5,5,5,2,6,3,7
w2020_058,6,5,3,5,5,2,5,5,1,5,3,5,4,5,3,5,3,5,5,6,6,2,6
w2020_059,3,5,2,7,4,7,5,7,2,7,2,7,5,2,4,6,5,5,1,4,7,2,7
w2020_060,7,7,4,7,3,4,5,7,1,7,6,7,7,5,3,5,4,7,3,5,7,2,7
w2020_061,5,2,7,6,3,4,4,7,2,7,3,7,4,6,2,6,6,6,5,5,7,1,7
w2020_062,3,5,3,5,4,3,3,6,4,4,4,5,5,5,4,6,6,5,4,5,6,3,7
w2020_063,5,5,4,7,4,4,5,7,2,6,5,7,4,5,4,5,4,3,5,4,7,3,7
w2020_064,7,4,6,6,2,3,5,7,1,6,7,7,6,1,2,4,7,7,4,4,7,3,7
w2020_065,6,6,4,6,4,6,5,6,4,5,5,6,5,4,4,5,6,6,5,3,6,2,6
w2020_066,7,7,4,5,7,1,3,4,1,7,4,7,4,3,6,5,3,6,3,2,7,2,7
w2020_067,5,3,4,6,2,6,6,6,1,7,6,6,6,2,4,7,6,6,4,5,7,2,6
w2020_068,6,7,6,7,4,5,7,5,6,7,4,7,7,5,3,6,4,6,6,6,7,1,6
w2020_069,5,4,3,7,5,7,6,7,2,5,3,7,6,3,3,7,6,7,5,5,7,2,7
w2020_070,6,7,2,7,5,3,5,6,1,6,3,7,2,3,6,5,3,5,5,4,7,3,7
w2020_071,7,7,1,7,4,7,5,5,1,4,3,7,2,1,3,7,1,7,7,3,7,1,7
w2020_072,5,6,6,5,3,3,2,3,5,4,3,7,6,3,6,5,6,6,3,3,7,5,6
w2020_073,6,6,3,5,5,3,4,6,1,7,4,5,6,4,2,5,3,6,5,2,5,4,7
w2020_074,6,7,5,6,6,6,5,6,1,7,5,6,6,3,2,6,4,5,6,5,7,1,6
w2020_075,6,7,2,5,5,6,7,6,1,6,5,6,5,5,2,6,2,7,3,5,7,1,6
w2020_076,6,4,5,7,4,5,3,4,2,7,3,4,7,6,3,6,6,7,6,5,7,3,6
w2020_077,6,6,4,5,4,5,4,6,2,7,4,6,5,5,3,5,5,6,5,4,7,2,6
w2020_078,4,6,4,7,7,3,5,6,3,7,5,7,6,5,3,5,7,5,6,4,7,1,7
w2020_079,7,7,4,5,6,6,3,5,1,7,2,7,7,2,2,7,7,7,7,5,7,1,7
w2020_080,7,7,4,7,1,1,7,7,1,7,5,7,7,6,1,7,1,7,4,7,7,1,7
w2020_081,7,6,7,4,7,1,3,7,2,7,4,7,4,3,2,7,3,6,3,7,7,2,7
w2020_082,6,3,5,5,5,7,6,7,2,6,2,6,6,4,3,4,6,5,5,2,7,2,5
w2020_083,7,5,4,3,2,4,6,4,3,5,2,6,5,3,2,5,4,5,4,4,6,3,5
w2020_084,6,5,5,6,4,4,3,5,3,5,2,4,5,3,4,6,5,5,4,3,7,4,6
w2020_085,6,7,2,6,4,7,4,7,1,7,4,7,5,1,2,4,7,6,4,2,7,6,7
w2020_086,6,6,2,7,4,5,2,5,6,6,3,6,6,5,4,5,7,5,5,5,6,3,6
w2020_087,7,7,3,6,4,4,5,6,2,7,5,7,7,4,2,4,4,5,4,5,6,1,7
w2020_088,7,7,4,5,4,4,5,5,3,6,5,6,5,4,3,6,3,7,5,4,6,4,7
w2020_089,7,6,6,6,6,6,3,5,1,6,5,6,4,4,5,6,3,3,5,5,5,3,6
w2020_090,7,6,6,6,2,5,5,6,2,7,3,6,6,3,6,5,7,6,5,2,7,6,7
w2020_091,4,5,2,4,2,6,5,6,2,6,5,6,5,5,3,6,6,6,4,2,6,4,6
w2020_092,7,6,6,6,4,7,4,6,2,7,5,7,6,4,4,5,7,7,4,6,6,2,7
w2020_093,6,5,5,6,4,7,5,7,2,7,4,7,7,3,5,6,6,6,4,4,7,3,7
w2020_094,6,6,4,5,4,6,5,6,2,6,4,6,6,5,2,5,6,6,3,3,7,4,7
w2020_095,6,1,7,6,3,3,2,6,1,7,3,6,7,1,6,6,7,6,6,4,7,2,7
w2020_096,5,6,5,6,5,3,4,5,2,6,5,6,5,5,2,4,4,5,3,4,6,2,7
w2020_097,7,6,6,5,6,5,5,6,1,7,4,6,5,2,2,6,5,6,6,5,7,2,7
w2020_098,4,4,2,6,5,4,3,6,2,6,4,7,5,3,2,7,6,7,4,2,7,1,7
w2020_099,7,5,4,7,5,6,4,6,1,7,2,6,5,4,4,5,4,5,5,3,6,2,6
w2020_100,6,5,4,7,5,5,5,7,1,7,1,7,3,1,2,5,6,7,5,6,7,5,7
w2020_101,6,7,5,6,5,5,5,7,5,6,5,7,6,3,2,6,3,6,6,6,7,1,7
w2020_102,6,7,7,7,5,6,7,7,3,7,4,7,7,2,4,5,5,6,4,2,7,4,7
w2020_103,7,4,6,7,2,5,4,7,2,7,2,7,7,4,2,4,3,7,1,4,7,2,7
w2020_104,3,5,7,6,3,4,4,7,6,7,6,7,7,2,5,4,7,7,2,4,7,1,7
w2020_105,7,5,5,5,2,2,4,5,1,7,2,6,6,5,3,6,6,6,5,4,6,3,6
w2020_106,6,6,3,5,4,4,4,6,2,6,4,7,6,3,2,5,5,5,5,3,7,3,7
w2020_107,6,6,5,5,4,5,5,5,3,5,2,7,6,3,3,6,7,5,5,3,7,2,6
w2020_108,7,7,5,6,2,5,6,4,6,7,6,7,7,2,6,5,7,6,1,5,7,1,6
w2020_109,7,6,3,6,6,5,5,5,3,5,4,7,3,6,3,6,4,4,5,5,7,3,6
w2020_110,6,6,4,6,6,5,5,6,1,6,4,7,6,3,4,6,3,6,6,4,6,1,7
w2020_111,6,6,4,6,3,6,5,6,2,6,4,7,6,5,2,6,4,7,4,5,7,2,6
w2020_112,2,5,7,7,1,4,1,6,6,7,1,7,4,2,3,5,7,5,6,1,7,7,7
w2020_113,6,5,7,5,4,5,4,6,1,4,2,6,6,2,6,4,6,3,3,5,6,4,6
w2020_114,6,6,4,5,3,4,4,6,3,5,3,6,7,4,5,4,5,2,3,3,7,4,6
w2020_115,7,6,6,6,5,7,4,5,2,7,4,7,7,3,3,6,7,6,7,1,7,4,6
w2020_116,7,5,4,7,6,5,4,6,2,7,4,7,7,5,4,7,5,6,4,6,7,1,7
w2020_117,7,7,2,7,5,6,5,5,1,6,5,6,7,2,1,7,1,7,7,4,7,1,7
w2020_118,6,4,4,5,4,5,4,6,3,6,4,5,5,4,4,4,5,5,5,3,4,3,7
w2020_119,7,6,4,7,5,6,6,7,1,7,6,7,6,4,2,6,2,7,6,5,7,2,7
w2020_120,7,6,6,7,5,6,4,7,4,7,4,6,6,4,4,3,4,6,4,4,7,3,7
w2020_121,5,7,2,6,4,5,4,5,2,6,4,5,6,4,2,7,5,5,6,5,5,4,7
w2020_122,7,6,4,3,3,5,5,6,1,6,4,5,6,4,2,6,6,6,5,5,7,5,6
w2020_123,5,6,3,5,3,3,5,5,3,6,4,5,4,5,2,5,4,6,4,4,6,2,6
