resp_id,pool_01,pool_02,pool_03,pool_04,pool_05,pool_06,pool_07,pool_08,pool_09,pool_10,pool_11,pool_12,pool_13,pool_14,pool_15,pool_16,pool_17,pool_18,pool_19,pool_20,pool_21,pool_22,pool_23,pool_24,pool_25,pool_26,pool_27,pool_28,pool_29,pool_30,pool_31,pool_32,pool_33,pool_34,pool_35,pool_36
w2021_001,7,7,7,4,4,3,3,5,7,1,7,2,7,7,6,6,6,2,2,7,7,7,7,1,3,6,7,2,3,6,5,5,6,5,6,6
w2021_002,6,5,7,7,5,6,5,7,6,3,5,4,5,4,6,7,5,3,4,4,4,5,6,6,4,6,4,7,5,7,4,4,7,6,4,6
w2021_003,7,5,6,6,6,5,7,7,7,3,6,5,7,7,6,5,5,3,5,6,6,7,7,5,6,6,5,6,6,6,7,4,7,5,5,7
w2021_004,6,4,7,3,5,5,3,6,4,2,6,2,6,5,4,4,7,2,3,5,5,4,7,5,3,7,4,5,3,7,7,2,7,6,6,6
w2021_005,6,6,7,4,6,4,6,7,7,2,5,3,5,6,2,2,6,6,6,6,6,6,6,6,7,7,1,6,7,7,7,7,7,6,7,7
w2021_006,7,7,7,5,7,7,6,7,7,3,7,3,4,6,5,7,7,3,6,6,6,5,5,7,5,7,2,7,7,7,7,6,7,6,6,7
w2021_007,7,7,7,5,4,4,5,7,7,2,4,4,7,7,3,4,6,5,5,6,7,7,4,5,4,7,7,6,4,5,6,6,3,5,6,7
w2021_008,7,6,7,5,4,5,4,7,7,4,4,4,5,7,6,5,6,4,5,7,7,7,7,6,5,7,6,7,6,7,7,6,7,6,6,7
w2021_009,7,7,7,2,4,5,6,7,7,2,6,3,6,6,3,4,7,3,4,6,6,6,7,7,7,6,3,7,7,7,7,4,7,6,6,6
w2021_010,7,6,7,5,4,5,7,4,6,2,4,2,7,6,7,7,5,2,6,5,5,6,7,4,6,4,2,3,4,7,5,4,5,5,6,7
