resp_id,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26
w2022_001,5,5,1,2,6,2,7,7,1,7,3,1,7,6,7,5,5,1,7,7,6,1,7,3,6,7
w2022_002,7,7,6,6,5,5,7,7,4,7,4,6,6,7,3,4,6,4,6,4,7,7,7,7,7,7
w2022_003,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,7
w2022_004,6,6,5,5,6,6,7,7,5,5,5,6,6,5,5,5,6,5,6,6,6,6,6,6,6,6
w2022_005,6,7,6,4,5,3,5,5,3,5,4,5,6,6,7,4,5,4,5,5,5,6,5,5,5,6
w2022_006,6,6,3,5,5,6,5,6,3,4,5,5,5,4,3,5,5,5,5,5,6,6,6,6,6,3
w2022_007,7,7,6,5,5,7,7,7,5,4,5,5,6,4,5,4,6,5,6,6,7,6,6,7,7,7
w2022_008,7,7,4,5,5,7,6,4,7,6,6,6,6,4,7,1,6,5,6,7,6,4,7,7,5,6
w2022_009,7,7,3,5,4,2,7,7,1,4,6,2,5,5,7,7,7,6,2,5,7,7,7,7,7,7
w2022_010,6,7,5,6,5,6,7,7,5,6,3,3,5,6,6,2,5,5,5,6,6,7,6,5,6,6
w2022_011,7,6,3,5,6,6,7,7,2,4,3,7,6,5,7,2,5,4,7,7,7,7,7,7,7,7
w2022_012,7,7,5,4,4,7,7,7,4,7,5,6,7,6,6,5,7,5,7,7,7,5,7,4,7,7
w2022_013,7,7,5,5,5,4,7,7,7,7,6,4,6,4,3,5,6,5,6,5,5,4,5,6,4,6
w2022_014,6,7,5,5,5,4,7,6,5,6,4,6,6,3,3,5,5,4,6,6,6,5,7,6,6,5
w2022_015,7,5,5,3,7,1,7,7,2,2,5,5,3,2,7,6,7,6,6,6,7,3,7,4,4,5
w2022_016,7,7,2,7,7,7,7,7,7,7,2,7,7,1,1,4,7,7,7,7,7,7,7,7,7,7
w2022_017,7,7,7,2,5,7,7,7,3,7,4,6,6,7,5,4,3,5,5,5,5,6,7,5,5,7
w2022_018,6,6,4,4,4,6,7,7,5,6,3,3,6,6,6,4,6,4,5,4,5,6,5,5,4,6
w2022_019,7,7,5,6,6,7,7,7,4,4,3,6,7,6,6,5,6,5,7,7,6,6,6,6,7,7
w2022_020,7,7,5,7,7,7,6,5,2,7,5,7,7,7,7,6,7,4,7,7,7,3,7,5,6,7
w2022_021,6,5,5,4,5,6,6,6,3,6,2,5,6,6,6,4,6,5,6,6,6,6,5,5,6,6
w2022_022,5,5,6,4,5,3,7,7,4,5,4,6,6,5,6,1,5,4,5,5,5,7,6,7,7,5
w2022_023,4,5,3,7,6,6,6,7,3,4,4,5,7,6,5,2,4,3,7,7,7,6,5,7,7,6
w2022_024,6,7,6,7,6,5,7,7,3,7,5,5,7,5,7,2,7,4,7,7,7,7,5,7,6,7
w2022_025,6,5,3,5,6,5,6,7,3,6,3,5,3,6,6,3,6,5,5,5,6,7,7,6,7,6
w2022_026,6,5,3,7,7,4,5,5,2,7,5,7,7,3,6,7,5,6,6,7,6,2,5,6,4,5
w2022_027,7,5,6,5,4,6,7,7,4,6,5,6,6,7,5,4,6,7,6,6,6,7,6,7,7,5
w2022_028,7,7,4,6,6,7,7,7,3,7,5,5,6,4,6,5,5,5,5,5,7,7,7,6,6,7
w2022_029,7,7,2,6,4,3,6,3,1,6,2,7,7,6,6,5,7,6,6,7,7,6,4,6,7,6
w2022_030,6,5,4,6,4,5,6,5,2,5,6,6,6,6,6,3,6,6,6,6,6,6,6,4,6,7
w2022_031,7,7,6,5,5,7,7,7,2,7,5,6,7,6,6,2,6,6,5,7,7,7,7,6,6,7
w2022_032,5,7,3,6,7,5,7,7,4,5,2,6,5,7,5,5,6,6,6,4,6,7,7,5,7,7
w2022_033,6,6,4,5,5,5,6,7,3,4,5,7,4,4,6,5,6,6,4,6,6,7,7,6,6,6
w2022_034,4,6,3,4,6,6,6,5,6,4,2,4,5,3,3,3,4,3,6,4,5,5,4,4,6,5
w2022_035,5,7,5,5,6,7,7,7,5,3,3,6,7,4,3,4,5,6,7,7,6,5,6,7,6,7
w2022_036,6,6,2,5,5,6,6,6,4,5,5,4,5,3,4,5,4,6,5,6,5,3,6,6,6,6
w2022_037,7,7,7,4,1,1,7,7,1,7,7,7,7,7,3,3,5,3,7,7,7,7,7,7,7,7
w2022_038,7,7,6,6,5,7,7,7,5,7,4,4,7,7,3,4,7,7,7,6,7,7,7,6,7,7
w2022_039,7,6,5,4,5,5,6,7,3,6,4,5,5,6,7,2,4,4,5,5,5,6,4,4,4,7
w2022_040,5,7,6,6,5,4,4,7,3,6,5,6,7,6,6,2,6,5,6,4,6,7,7,6,6,7
w2022_041,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
w2022_042,7,7,5,7,6,7,7,7,6,7,6,6,7,6,5,5,7,7,7,7,7,7,7,7,7,7
w2022_043,6,6,5,6,5,6,6,7,6,6,5,5,5,6,4,4,5,6,4,5,5,6,7,6,6,4
w2022_044,6,6,4,5,3,6,7,5,3,5,3,6,6,4,6,6,5,4,6,4,6,3,5,7,6,7
w2022_045,7,7,7,5,4,6,7,7,5,6,4,6,6,7,2,2,4,4,5,5,6,7,7,7,7,7
w2022_046,7,7,5,5,2,6,7,6,2,6,2,6,6,5,6,4,5,2,6,6,6,5,5,7,6,6
w2022_047,6,6,5,5,4,6,7,6,5,5,4,4,6,6,6,1,4,3,6,6,7,7,7,7,5,5
w2022_048,7,6,3,6,5,3,7,2,3,6,5,7,6,6,2,6,6,5,6,6,7,6,7,6,7,5
w2022_049,7,5,4,4,6,5,7,6,4,7,2,6,7,2,7,6,7,6,7,5,6,6,4,7,7,7
w2022_050,7,7,6,4,3,3,7,7,5,5,1,7,6,5,7,1,6,4,6,7,7,7,3,5,3,7
w2022_051,6,7,5,2,5,6,6,7,4,6,4,5,7,7,5,1,6,6,6,6,6,7,7,6,7,7
w2022_052,5,4,7,4,6,6,7,7,4,7,5,5,5,5,6,3,6,5,5,6,5,7,6,6,5,5
w2022_053,7,7,5,5,3,5,7,6,4,7,5,5,7,4,2,5,7,7,7,7,7,7,7,7,7,5
w2022_054,5,7,7,4,2,7,7,7,1,4,5,7,3,6,7,2,5,4,3,6,5,6,6,6,6,6
w2022_055,4,6,4,7,7,5,7,7,5,5,5,7,7,4,5,4,7,5,7,6,6,5,5,5,5,6
w2022_056,7,6,5,5,4,6,6,6,3,7,5,4,4,5,6,4,6,2,6,6,6,7,7,4,6,7
w2022_057,6,6,5,6,6,6,6,6,5,6,4,7,7,3,5,3,7,5,6,6,7,6,6,6,6,6
w2022_058,7,6,6,6,5,7,7,6,4,6,3,7,7,7,7,3,7,3,7,5,6,7,4,7,6,6
w2022_059,6,6,5,6,5,7,7,7,6,6,5,5,6,5,4,5,6,5,5,6,6,7,6,7,7,7
w2022_060,7,7,5,6,5,6,7,7,4,7,5,6,6,3,3,5,5,4,6,6,6,2,7,5,6,5
w2022_061,7,7,7,5,5,4,6,7,3,7,1,6,5,7,7,4,5,4,5,6,6,7,7,5,6,6
w2022_062,6,7,7,6,4,3,6,7,2,1,1,6,6,6,7,2,7,6,6,6,6,7,6,6,6,7
w2022_063,6,7,4,6,5,6,7,7,6,6,4,5,6,7,7,5,6,6,7,7,7,6,6,7,7,7
w2022_064,7,7,5,4,5,7,7,7,4,6,5,6,5,6,6,2,7,5,7,6,6,7,7,7,6,7
w2022_065,7,4,4,6,5,5,7,7,6,5,4,6,6,5,6,6,6,6,7,7,7,7,5,6,7,7
w2022_066,7,6,5,4,3,4,6,7,1,6,2,6,7,7,6,6,4,2,7,7,6,7,7,6,5,7
w2022_067,7,6,7,2,5,6,3,6,2,6,2,6,6,6,6,2,5,6,6,6,6,7,6,5,6,6
w2022_068,7,6,6,4,5,5,7,6,4,4,5,5,5,4,4,4,6,5,5,5,6,6,5,5,5,7
w2022_069,6,7,4,4,6,7,7,4,3,7,5,7,7,5,7,2,5,5,7,7,7,7,7,6,7,7
w2022_070,7,2,4,6,3,1,2,5,1,4,4,1,5,7,3,6,6,5,6,4,5,4,4,4,4,7
w2022_071,4,7,7,4,4,3,7,7,4,7,5,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4
w2022_072,7,7,6,4,5,5,7,7,4,7,6,7,6,7,5,4,6,4,7,7,7,6,6,6,7,4
w2022_073,7,5,5,4,5,5,6,6,3,6,4,6,7,4,6,5,6,5,7,5,7,5,6,4,6,6
w2022_074,6,6,5,1,5,6,6,6,2,5,5,4,6,4,4,6,6,5,6,6,6,6,4,5,6,6
w2022_075,6,6,6,5,2,6,6,6,2,4,3,5,5,5,5,3,5,4,6,6,6,6,6,7,6,6
w2022_076,6,7,5,7,6,6,7,7,4,5,4,6,6,5,6,4,7,6,7,6,7,6,5,5,6,6
w2022_077,6,7,4,5,6,5,7,7,3,4,5,4,4,4,5,3,6,4,4,5,6,6,5,6,5,6
w2022_078,7,7,5,6,6,7,7,7,6,6,4,7,7,6,7,5,7,5,6,7,6,7,7,7,7,7
w2022_079,5,6,5,4,5,4,6,6,4,4,2,6,6,4,5,6,6,6,7,5,7,7,5,4,6,6
w2022_080,6,7,7,7,6,6,6,6,6,6,5,6,6,3,4,6,6,4,5,6,6,7,6,6,7,7
w2022_081,5,6,6,6,6,6,6,6,4,6,5,5,5,5,5,4,4,5,6,6,6,6,6,6,5,5
w2022_082,6,6,7,6,4,5,6,6,4,5,4,5,5,5,6,5,6,6,6,5,6,6,6,6,6,6
w2022_083,6,7,5,4,4,3,5,6,5,4,3,5,5,4,5,3,3,4,5,6,5,5,6,5,6,6
w2022_084,7,7,6,5,5,6,6,7,3,6,4,6,6,5,6,5,6,5,6,6,6,6,4,6,6,7
w2022_085,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,7,7,7,7
w2022_086,4,5,3,5,6,3,6,6,2,5,1,5,5,3,3,5,5,5,5,6,5,2,6,6,6,5
w2022_087,5,4,3,4,5,6,6,6,3,6,3,3,4,3,4,5,6,2,4,6,5,6,6,4,7,6
w2022_088,4,5,5,4,5,6,6,6,4,5,4,5,5,4,4,4,5,5,5,5,6,7,6,7,6,7
w2022_089,5,6,3,7,3,3,5,4,3,5,4,7,6,4,3,4,5,5,6,7,7,6,5,5,7,5
w2022_090,7,7,4,4,7,3,7,7,1,3,5,7,7,2,7,2,7,7,7,7,7,1,7,1,7,7
w2022_091,6,4,3,5,5,3,5,4,5,4,5,6,6,5,3,4,5,5,6,6,5,5,6,6,7,5
w2022_092,7,7,7,5,3,7,6,7,4,5,6,6,6,5,6,6,6,6,6,6,6,7,5,6,6,7
w2022_093,6,6,5,4,5,5,7,7,3,5,1,7,6,6,7,2,6,5,7,7,7,6,4,5,7,7
w2022_094,7,6,4,4,5,5,7,7,3,3,4,2,3,3,4,4,4,4,3,3,3,7,5,7,5,7
w2022_095,6,7,6,6,6,7,7,7,5,6,6,7,7,6,4,4,6,6,6,6,7,6,7,7,7,5
w2022_096,7,7,5,7,6,5,7,6,5,6,5,7,5,6,5,4,6,4,6,7,6,4,4,4,5,7
w2022_097,6,6,2,6,7,6,7,6,6,6,6,6,5,6,6,4,6,4,6,6,6,7,6,6,6,5
