resp_id,wave,datum,pohlavi,rok_narozeni,obor1,obor2,zkusenost,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26
w2023_001,2023,2023-02-14,Žena,2001,Výchova ke zdraví se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,True,7,6,7,7,7,5,7,6,5,7,5,5,5,5,5,6,7,5,5,6,6,5,7,6,7,7
w2023_002,2023,2023-02-14,Žena,2002,Anglický jazyk se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,6,4,5,7,7,7,4,7,3,4,6,4,5,6,7,5,7,6,6,7,7,7,6,7
w2023_003,2023,2023-02-14,Žena,2002,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Speciální pedagogika,False,5,5,2,4,4,4,5,6,4,4,4,4,4,4,4,4,5,5,5,5,6,4,6,7,4,4
w2023_004,2023,2023-02-14,Muž,2001,Matematika se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,6,4,3,5,4,7,7,2,4,3,5,6,4,5,3,6,5,7,7,6,7,4,5,7,5
w2023_005,2023,2023-02-14,Žena,2001,Výchova ke zdraví se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,True,5,6,3,3,4,7,7,7,5,5,1,5,6,7,5,6,5,5,6,6,7,4,5,5,7,7
w2023_006,2023,2023-02-14,Žena,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,6,6,5,7,6,6,7,7,5,7,4,5,6,5,6,3,7,7,7,7,7,3,6,6,7,4
w2023_007,2023,2023-02-14,Žena,2002,Výtvarná výchova se zaměřením na vzdělávání,,True,6,7,4,5,5,6,7,7,3,5,2,3,7,6,5,5,7,7,7,7,7,7,5,6,6,7
w2023_008,2023,2023-02-14,Žena,2001,Český jazyk a literatura se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,5,5,4,1,6,6,7,3,7,5,4,7,7,7,7,4,4,7,5,7,7,7,7,7,7
w2023_009,2023,2023-02-14,Žena,2002,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,False,7,7,5,7,6,5,7,5,7,5,3,6,7,5,5,5,7,5,7,7,6,6,6,7,7,3
w2023_010,2023,2023-02-14,Žena,2002,Český jazyk a literatura se zaměřením na vzdělávání,Přírodopis se zaměřením na vzdělávání,False,6,5,7,4,4,7,7,7,1,7,1,5,6,7,7,7,7,4,7,7,7,7,7,6,7,7
w2023_011,2023,2023-02-14,Muž,2002,Zeměpis se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,7,5,6,6,7,7,4,7,5,5,5,7,6,7,6,5,6,6,6,7,7,7,6,6
w2023_012,2023,2023-02-14,Žena,1998,Výchova ke zdraví se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,False,6,6,6,7,6,6,7,7,6,6,6,6,5,5,4,6,7,7,5,5,6,5,7,7,7,6
w2023_013,2023,2023-02-14,Žena,2001,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,7,7,7,7,7,7,7,7,6,6,7,4,5,3,5,6,7,7,7,7,7,7,7,7
w2023_014,2023,2023-02-14,Žena,2001,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,False,6,7,7,6,5,6,7,7,5,5,4,6,5,5,7,7,3,5,6,6,6,7,7,7,6,5
w2023_015,2023,2023-02-14,Muž,2002,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,True,7,5,2,4,5,6,6,7,5,6,2,6,7,6,7,5,5,6,7,2,7,6,5,7,7,7
w2023_016,2023,2023-02-14,Žena,2002,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,False,7,7,4,6,5,7,7,7,5,7,4,6,7,5,6,7,3,4,7,6,7,6,7,7,7,7
w2023_017,2023,2023-02-14,Žena,2001,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,3,5,6,7,7,7,6,6,6,6,6,6,4,2,7,6,6,6,5,3,7,7,6,6
w2023_018,2023,2023-02-14,Žena,2002,Dějepis se zaměřením na vzdělávání,Německý jazyk se zaměřením na vzdělávání,True,7,7,6,5,6,7,7,7,3,5,4,7,7,4,6,4,4,2,7,7,7,7,7,7,7,4
