"resp_id","cluster","need","profile"
"v2019_001",1,6,"need-inclusive"
"v2019_002",1,5,"need-inclusive"
"v2019_003",1,6,"need-inclusive"
"v2019_004",1,3,"need-inclusive"
"v2019_005",1,3,"need-inclusive"
"v2019_006",2,2,"equality-first / need-skeptical"
"v2019_007",1,5,"need-inclusive"
"v2019_008",1,4,"need-inclusive"
"v2019_009",2,3,"equality-first / need-skeptical"
"v2019_010",2,3,"equality-first / need-skeptical"
"v2019_011",1,6,"need-inclusive"
"v2019_012",1,5,"need-inclusive"
"v2019_013",1,5,"need-inclusive"
"v2019_014",2,3,"equality-first / need-skeptical"
"v2019_015",2,1,"equality-first / need-skeptical"
"v2019_016",1,7,"need-inclusive"
"v2019_017",2,1,"equality-first / need-skeptical"
"v2019_018",1,2,"need-inclusive"
"v2019_019",1,6,"need-inclusive"
"v2019_020",1,4,"need-inclusive"
"v2019_021",1,5,"need-inclusive"
"v2019_022",2,3,"equality-first / need-skeptical"
"v2019_023",2,4,"equality-first / need-skeptical"
"v2019_024",2,4,"equality-first / need-skeptical"
"v2019_025",1,5,"need-inclusive"
"v2019_026",1,5,"need-inclusive"
"v2019_027",1,5,"need-inclusive"
"v2019_028",1,4,"need-inclusive"
"v2019_029",2,3,"equality-first / need-skeptical"
"v2019_030",2,2,"equality-first / need-skeptical"
"v2019_031",1,5,"need-inclusive"
"v2019_032",1,5,"need-inclusive"
"v2019_033",1,6,"need-inclusive"
"v2019_034",1,6,"need-inclusive"
"v2019_035",1,1,"need-inclusive"
"v2019_036",1,5,"need-inclusive"
"v2019_037",1,6,"need-inclusive"
"v2019_038",2,4,"equality-first / need-skeptical"
"v2019_039",2,3,"equality-first / need-skeptical"
"v2019_040",1,4,"need-inclusive"
"v2019_041",1,4,"need-inclusive"
"v2019_042",1,6,"need-inclusive"
"v2019_043",1,6,"need-inclusive"
"v2019_044",1,6,"need-inclusive"
"v2019_045",1,4,"need-inclusive"
"v2019_046",2,3,"equality-first / need-skeptical"
"v2019_047",1,4,"need-inclusive"
"v2019_048",1,5,"need-inclusive"
"v2019_049",2,3,"equality-first / need-skeptical"
"v2019_050",1,5,"need-inclusive"
"v2019_051",2,4,"equality-first / need-skeptical"
"v2019_052",1,5,"need-inclusive"
"v2019_053",1,4,"need-inclusive"
"v2019_054",1,3,"need-inclusive"
"v2019_055",1,5,"need-inclusive"
"v2019_056",1,5,"need-inclusive"
"v2019_057",2,3,"equality-first / need-skeptical"
