"pair","n1","n2","statistic","p","p.adj","p.adj.signif","rank_biserial","magnitude"
"Equality vs Chance",315,315,26257.5,3.53e-14,1.77e-13,"****",0.427,"moderate"
"Equality vs Need",315,315,28466,5.94e-21,3.57e-20,"****",0.527,"large"
"Equality vs Merit",315,315,32973.5,7.1e-26,4.97e-25,"****",0.603,"large"
"Equality vs Equal opportunity",315,315,44373.5,7.54e-46,1.05e-44,"****",0.812,"large"
"Equality vs Caste",315,315,45950,2.71e-50,4.06e-49,"****",0.851,"large"
"Chance vs Need",315,315,21186,0.0413,0.0413,"*",0.107,"small"
"Chance vs Merit",315,315,24462,8.28e-06,3.31e-05,"****",0.25,"small"
"Chance vs Equal opportunity",315,315,39494.5,2.21e-37,2.43e-36,"****",0.727,"large"
"Chance vs Caste",315,315,38869,1.31e-41,1.7e-40,"****",0.78,"large"
"Need vs Merit",315,315,20426,0.0167,0.0334,"*",0.134,"small"
"Need vs Equal opportunity",315,315,33813.5,2.48e-31,2.23e-30,"****",0.672,"large"
"Need vs Caste",315,315,38785.5,2.65e-39,3.18e-38,"****",0.756,"large"
"Merit vs Equal opportunity",315,315,32465.5,6.52e-28,5.22e-27,"****",0.628,"large"
"Merit vs Caste",315,315,36639,2.09e-36,2.09e-35,"****",0.732,"large"
"Equal opportunity vs Caste",315,315,18153.5,0.000444,0.00133,"**",0.176,"small"
