"","MR1","MR4","MR2","MR3"
"i01",0.109,0.508,0.067,-0.046
"i02",0.091,0.566,0.015,-0.116
"i03",-0.133,0.192,0.541,0.177
"i04",0.044,-0.047,0.126,0.577
"i05",-0.097,0.159,-0.175,0.511
"i06",-0.018,0.622,-0.018,0.126
"i07",-0.019,0.539,0.019,0.031
"i08",0.124,0.614,0.057,-0.047
"i09",-0.084,0.098,0.02,0.676
"i10",0.039,0.217,0.474,0.106
"i11",0.093,0.048,-0.107,0.369
"i12",0.289,0.159,0.049,-0.08
"i13",0.741,0.044,-0.007,-0.017
"i14",-0.005,-0.032,0.835,0.012
"i15",0.148,-0.086,0.548,-0.061
"i16",0.238,-0.056,0.058,0.485
"i17",-0.133,0.035,0.455,-0.284
"i18",0.192,-0.111,-0.001,0.598
"i19",0.8,0.016,0.089,0.034
"i20",0.685,0.019,-0.072,-0.054
"i21",0.83,-0.001,-0.023,0.045
"i22",0.158,0.181,0.418,-0.086
"i23",-0.02,0.598,0.026,0.134
"i24",0.112,0.446,-0.132,0.052
"i25",0.502,0.182,-0.049,0.075
"i26",0.025,0.509,0.065,-0.188
