"metric","value"
"n_total","744"
"n_2023","247"
"n_2024","333"
"n_2026","164"
"mean_ceiling_pct","37"
"max_ceiling_pct","75"
"kmo_2023","0.775"
"bartlett_2023_p","0"
"parallel_2023_nfact","5"
"ega_2023_ndim","4"
"var_2023_4f_pct","44.2"
"efa2023_items_salient","23"
"efa2023_items_below40","3"
"cfi_oneF","0.519"
"rmsea_oneF","0.139"
"srmr_oneF","0.136"
"cfi_fourF","0.812"
"rmsea_fourF","0.088"
"srmr_fourF","0.086"
"cfi_HO","0.797"
"rmsea_HO","0.091"
"srmr_HO","0.095"
"cfi_bifac","0.848"
"rmsea_bifac","0.082"
"srmr_bifac","0.08"
"cfi_esem","0.916"
"rmsea_esem","0.067"
"srmr_esem","0.04"
"lrt_1F_vs_4F_p","5.55e-84"
"bifactor_ECV","0.476"
"bifactor_PUC","0.775"
"bifactor_omega_general","0.895"
"bifactor_omegaH_general","0.632"
"max_factor_cor_4F","0.603"
"mean_abs_factor_cor_4F","0.433"
"max_factor_cor_ESEM","0.54"
"mean_abs_factor_cor_ESEM","0.283"
"omega_2024_procedural","0.877"
"omega_2024_equality","0.853"
"omega_2024_needs","0.72"
"omega_2024_merit","0.86"
"omega_2024_min","0.72"
"omega_2024_max","0.877"
"cfi_fourF_2026","0.751"
"rmsea_fourF_2026","0.111"
"srmr_fourF_2026","0.088"
"holdout_loading_r","0.743"
"holdout_loading_tucker","0.991"
"omega_2026_procedural","0.886"
"omega_2026_equality","0.844"
"omega_2026_needs","0.735"
"omega_2026_merit","0.897"
"cfi_esem_2026","0.792"
"rmsea_esem_2026","0.116"
"srmr_esem_2026","0.062"
"n_duplicate_patterns","1"
"n_sensitivity","743"
"cfi_fourF_nodup","0.818"
"rmsea_fourF_nodup","0.081"
"inv_gate_method","MLR continuous approx (ordinal empty-cell within wave); full ordinal in E4"
"inv_cfi_configural","0.84"
"inv_cfi_metric","0.836"
"inv_dCFI_configural_to_metric","0.004"
"pooled_reporting_allowed","TRUE"
"pooled_cfi_4F","0.819"
"pooled_rmsea_4F","0.081"
"pooled_srmr_4F","0.075"
"omega_pooled_procedural","0.867"
"omega_pooled_equality","0.836"
"omega_pooled_needs","0.732"
"omega_pooled_merit","0.871"
"omega_pooled_min","0.732"
"omega_pooled_max","0.871"
