"metric","value"
"n_total","744"
"n_nodes","26"
"uva_n_redundant","3"
"wto_15_16","0.288"
"wto_12_13","0.283"
"wto_10_14","0.262"
"edges_g0","200"
"edges_g025","145"
"edges_g05","143"
"density_g05","0.44"
"edge_cor_g05_g0","0.975"
"edge_cor_g05_g025","1"
"CS_expectedInfluence","0.75"
"CS_strength","0.672"
"strength_top_item","item_08"
"strength_min_item","item_12"
"predictability_mean","0.306"
"predictability_max","0.485"
"ega_ndim_pooled","4"
"ega_ndim_louvain","4"
"bootEGA_median_ndim","4"
"bootEGA_pct_4dim","99.6"
"itemStability_min","0.316"
"itemStability_mean","0.958"
"itemStability_n_below_.70","2"
"structural_consistency_min","0.316"
"structural_consistency","1/0.32/0.99/0.99"
"hierEGA_lower_ndim","8"
"hierEGA_higher_ndim","3"
"ARI_ega_apriori","0.885"
"ARI_ega_efa","0.79"
"ARI_efa_apriori","0.887"
"NMI_ega_apriori","0.918"
"NMI_ega_efa","0.874"
"NMI_efa_apriori","0.918"
"items_offblock_ega","item_26"
"nct_2023_2024_p_structure","0.434"
"nct_2023_2024_p_globalstrength","0.312"
"nct_2023_2024_n_sig_edges_holm","0"
"nct_2023_2026_p_structure","0.859"
"nct_2023_2026_p_globalstrength","0.396"
"nct_2023_2026_n_sig_edges_holm","0"
"nct_2024_2026_p_structure","0.405"
"nct_2024_2026_p_globalstrength","0.255"
"nct_2024_2026_n_sig_edges_holm","0"
"bridge_top_item","item_22"
"bridge_top_value","0.534"
"n_bidr_items","19"
"n_bidr_reversed","9"
"bidr_n","744"
"bidr_mean_M","3.92"
"bidr_mean_SD","0.64"
"bidr_alpha","0.711"
"r_bidr_procedural","0.012"
"rs_bidr_procedural","0.022"
"r_bidr_equality","0.161"
"rs_bidr_equality","0.162"
"r_bidr_needs","-0.07"
"rs_bidr_needs","-0.058"
"r_bidr_merit","0.04"
"rs_bidr_merit","0.061"
"max_abs_r_bidr_factor","0.161"
"max_abs_r_bidr_factor_dich","0.235"
"max_abs_r_bidr_item","0.168"
"cor_strength_vs_absrbidr","0.095"
